Date,Open,High,Low,Close,Adj Close,Volume
2017-06-14,45.160000,45.279999,44.490002,44.810001,44.810001,12024600
2017-06-15,44.549999,44.820000,44.369999,44.680000,44.680000,10394600
2017-06-16,44.750000,45.099998,44.529999,45.090000,45.090000,15930900
2017-06-19,45.270000,45.750000,45.209999,45.730000,45.730000,12787700
2017-06-20,45.759998,46.320000,45.599998,45.840000,45.840000,15299600
2017-06-21,46.150002,46.540001,46.080002,46.330002,46.330002,30757300
2017-06-22,46.330002,51.849998,46.330002,50.299999,50.299999,63193900
2017-06-23,50.240002,51.840000,50.070000,50.950001,50.950001,42812500
2017-06-26,50.990002,51.700001,50.770000,50.860001,50.860001,29453400
2017-06-27,50.750000,51.450001,50.520000,50.750000,50.750000,17876400
2017-06-28,51.070000,51.090000,50.810001,50.869999,50.869999,15981600
2017-06-29,50.759998,50.889999,49.980000,50.200001,50.200001,13906400
2017-06-30,50.180000,50.520000,50.080002,50.139999,50.139999,12737600
2017-07-03,50.049999,50.130001,49.320000,49.360001,49.360001,10883200
2017-07-05,49.799999,50.029999,49.410000,49.459999,49.459999,15775300
2017-07-06,49.250000,49.419998,48.770000,48.849998,48.849998,14411900
2017-07-07,48.830002,49.439999,48.830002,49.349998,49.349998,10889400
2017-07-10,49.270000,49.830002,49.220001,49.619999,49.619999,10098500
2017-07-11,49.529999,49.889999,49.410000,49.880001,49.880001,9692300
2017-07-12,50.020000,50.480000,49.959999,50.450001,50.450001,14325400
2017-07-13,50.549999,50.674999,50.250000,50.505001,50.505001,5498565
